Date,Affected pages
2026-03-03,0
2026-03-04,0
2026-03-05,0
2026-03-06,0
2026-03-07,0
2026-03-08,0
2026-03-09,0
2026-03-10,0
2026-03-11,0
2026-03-12,0
2026-03-13,0
2026-03-14,0
2026-03-15,0
2026-03-16,0
2026-03-17,0
2026-03-18,0
2026-03-19,0
2026-03-20,0
2026-03-21,0
2026-03-22,0
2026-03-23,0
2026-03-24,0
2026-03-25,2
2026-03-26,2
2026-03-27,2
2026-03-28,2
2026-03-29,6
2026-03-30,6
2026-03-31,6
2026-04-01,7
2026-04-02,7
2026-04-03,7
2026-04-04,7
2026-04-05,7
2026-04-06,7
2026-04-07,11
2026-04-08,11
2026-04-09,11
2026-04-10,11
