Date,Not indexed,Indexed,Impressions
2026-03-01,,,0
2026-03-02,,,0
2026-03-03,0,2,0
2026-03-04,1,4,0
2026-03-05,1,4,2
2026-03-06,1,4,1
2026-03-07,1,4,1
2026-03-08,0,6,4
2026-03-09,0,6,7
2026-03-10,0,6,2
2026-03-11,1,7,5
2026-03-12,1,7,5
2026-03-13,1,7,5
2026-03-14,1,7,3
2026-03-15,1,7,2
2026-03-16,1,8,3
2026-03-17,1,8,5
2026-03-18,4,15,1
2026-03-19,4,15,7
2026-03-20,4,15,0
2026-03-21,4,15,4
2026-03-22,23,26,4
2026-03-23,23,26,3
2026-03-24,23,26,3
2026-03-25,11,64,4
2026-03-26,11,64,13
2026-03-27,11,64,5
2026-03-28,11,64,11
2026-03-29,19,72,20
2026-03-30,19,72,26
2026-03-31,19,72,19
2026-04-01,23,93,33
2026-04-02,23,93,22
2026-04-03,23,93,36
2026-04-04,23,93,6
2026-04-05,23,97,4
2026-04-06,23,97,14
