Date,Affected pages
2026-02-24,0
2026-02-25,0
2026-02-26,0
2026-02-27,0
2026-02-28,0
2026-03-01,0
2026-03-02,0
2026-03-03,0
2026-03-04,1
2026-03-05,1
2026-03-06,1
2026-03-07,1
2026-03-08,1
2026-03-09,1
2026-03-10,1
2026-03-11,2
2026-03-12,2
2026-03-13,2
2026-03-14,2
2026-03-15,2
2026-03-16,3
2026-03-17,3
2026-03-18,5
2026-03-19,5
2026-03-20,5
2026-03-21,5
2026-03-22,21
2026-03-23,21
2026-03-24,21
2026-03-25,48
2026-03-26,48
2026-03-27,48
2026-03-28,48
2026-03-29,63
2026-03-30,63
2026-03-31,63
2026-04-01,63
2026-04-02,63
2026-04-03,63
2026-04-04,63
2026-04-05,63
2026-04-06,63
2026-04-07,63
2026-04-08,63
2026-04-09,63
2026-04-10,63
