Date,Not indexed,Indexed,Impressions
2026-02-23,,,0
2026-02-24,,,0
2026-02-25,,,0
2026-02-26,,,0
2026-02-27,,,0
2026-02-28,,,2
2026-03-01,,,4
2026-03-02,,,1
2026-03-03,104,6,1
2026-03-04,204,10,1
2026-03-05,204,10,4
2026-03-06,204,10,2
2026-03-07,204,10,9
2026-03-08,204,11,26
2026-03-09,204,11,18
2026-03-10,204,11,24
2026-03-11,109,12,33
2026-03-12,109,12,37
2026-03-13,109,12,34
2026-03-14,109,12,30
2026-03-15,109,12,24
2026-03-16,220,11,28
2026-03-17,220,11,28
2026-03-18,122,14,31
2026-03-19,122,14,39
2026-03-20,122,14,56
2026-03-21,122,14,50
2026-03-22,152,27,68
2026-03-23,152,27,70
2026-03-24,152,27,72
2026-03-25,231,109,105
2026-03-26,231,109,122
2026-03-27,231,109,108
2026-03-28,231,109,86
2026-03-29,268,115,131
2026-03-30,268,115,219
2026-03-31,268,115,184
2026-04-01,269,116,186
2026-04-02,269,116,126
2026-04-03,269,116,78
2026-04-04,269,116,51
2026-04-05,272,113,67
2026-04-06,272,113,82
